country,source,title,pub_date,description,url,language
United States,CNN,Video shows moment man throws yogurt on two women in Iran,Unknown,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,en
United States,CNN,"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating",Unknown,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,en
United States,CNN,Erdogan's political fate may be determined by Turkey's Kurds,Unknown,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,en
United States,CNN,Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,Unknown,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,en
United States,CNN,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,Unknown,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,en
United States,CNN,Man rides out tornado inside van. See the footage,Unknown,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn,en
United States,CNN,"China Renaissance suspends trading, delays results after founder's disappearance",Unknown,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,en
United States,CNN,HSBC's top execs face tense shareholders calling for a breakup,Unknown,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,en
United States,CNN,Lawmaker speaks out about his struggle with depression,Unknown,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,en
United States,CNN,CEOs are tired of being held responsible for gun regulation,Unknown,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,en
United States,CNN,What pet cemeteries reveal about being human,Unknown,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,en
United States,CNN,Scientists film deepest ever fish on seabed off Japan,Unknown,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,en
United States,CNN,What OPEC's surprise oil cut means for gas prices,Unknown,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,en
United States,CNN,Palestinian taxi driver recounts surviving attack by right-wing protesters,Unknown,A Palestinian taxi driver describes surviving a violent attack by a right-wing mob in Jerusalem earlier this week as Israel continues to see protests against Prime Minister Benjamin Netanyahu's judicial overhaul spread. CNN's Nic Robertson reports.,https://www.cnn.com/videos/world/2023/03/31/israel-protests-rise-taxi-driver-attacked-robertson-pkg-intl-vpx.cnn,en
United States,CNN,Giving Marjorie Taylor Greene a platform isn't good for America,Unknown,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html,en
United States,CNN,These are the animals people most want to see photographed,Unknown,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html,en
